id,tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Kalimat_Alay,Kalimat_Abusive,Total_KA,Total_A,total_char,total_word,lebel,Type,apakah_ada_kata_enak
52700,pelajar sma kec bilah hilir deklarasi anti hoax &amp; pilkada 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0,"sma,kec,hoax,pilkada",,0,17,72,12,12,Alay,0
52701,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat. insya allah siap beroperasi bulan depan;,0,0,0,0,0,0,0,0,0,0,0,0,apbn,,0,4,153,20,20,Alay,0
52702,"siapapun gubernur dan presidennya, rakyatnya, ya kitaâ² juga...",0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,63,8,8,Netral,0
52703,ini si user kerjaannya delay mulu! setan!',1,1,0,1,0,0,0,0,1,0,1,0,"si,user",,0,6,42,7,7,Alay,0
52704,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0,modusbanget,,0,11,82,13,13,Alay,0
52705,rt user user user pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,"user,user,user,pki,krn",,0,18,121,19,19,Alay,0
52706,user user itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',1,1,1,0,0,0,0,0,1,1,0,0,"user,user,mah,sdh,sy,biasay",cebong,6,22,75,13,13,Anoying,0
52707,"user user user user user user user user user islam nusantara produk jil, dipasarkan dg gencar oleh antek\xc2\xb2 jil.\n\nsementara jil anti arab, tapi pro aseng!\n\nkata (alm) kh. hasyim muzadi,",1,0,0,1,1,0,0,0,0,0,1,0,"user,user,user,user,user,user,user,user,user,dg",,0,38,194,29,29,Alay,0
52708,dari habis sahur sampe jam 10. sibayik udah nete 4x. skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',0,0,0,0,0,0,0,0,0,0,0,0,"sampe,sibayik,udah,skg",nete,4,19,100,16,16,Anoying,0
52709,user gak kak emak mah gak demen ama yang sipit wkwk',0,0,0,0,0,0,0,0,0,0,0,0,"user,gak,mah,gak,demen,ama",sipit,5,21,52,11,11,Anoying,0
52710,"rt user: kelakuan homok jaman now, ngentot aja sambil live di blued #gayvid #gvid #lokalhangat url",0,1,0,0,0,0,0,0,0,0,0,0,"homok,aja,url",ngentot,7,11,98,16,16,Anoying,0
52711,"user ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. atau kalak mau belajar budaya palembang?",0,0,0,0,0,0,0,0,0,0,0,0,"user,ga,gua,yak,gua,aja,yg,kalak",,0,25,156,28,28,Alay,0
52712,pegawai guardian training lagi kek mentang2 gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',1,1,0,1,0,0,0,0,1,0,1,0,"kek,mentang2,kek,cuman,nanya,bangsad,emang,males,gua",gembel,6,44,157,25,25,Anoying,0
52713,\xe2\x80\x9dpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##hbd17thpelautjkt48',0,1,0,0,0,0,0,0,0,0,0,0,,bajingan,8,0,135,13,13,Abusive,0
52714,ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,0,0,0,0,0,0,0,0,0,0,0,0,"hoax,pilkada",,0,11,72,11,11,Alay,0
52715,user user presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk #rakyatb3rsamajkw,0,0,0,0,0,0,0,0,0,0,0,0,"user,user,luarbiasa,ihlas",,0,22,84,12,12,Alay,0
52716,edan emang goollnya fabiano!!',0,1,0,0,0,0,0,0,0,0,0,0,"emang,goollnya",edan,4,13,30,4,4,Anoying,0
52717,gapernah mendalami al-quran ya bang??? pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw',1,1,1,0,1,0,1,0,0,1,0,0,"gapernah,pantesan,kaya","kafir,bejat,hina",14,20,100,13,13,Anoying,0
52718,"sangat terlihat beda sekali kewibawaannya ,; yg sangat berwibawa cuma gubernur indonesia user ; massya allah...",0,0,0,0,0,0,0,0,0,0,0,0,"yg,user,massya",,0,12,111,16,16,Alay,0
52719,anjir baru kali ini lihat orang bego mau debat pilkada. kerjanya nyerang karakter. shame on you mpok silvy and agus. #debatfinalpilkadajkt,1,1,0,1,0,0,0,0,1,0,1,0,"nyerang,shame,you,mpok","anjir,bego",9,19,138,21,21,Anoying,0
52720,"#gubernurzamannow #gusipulputi2 #ganjaryasin1 #djarotsihar2 #hasananton2 #kosterace1 #nurdinsudirman3 #karolingidot2 rt user: ""keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur djarot di hadapan peserta rakercabsuâ?¦",0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,246,24,24,Netral,0
52721,"user user apa iya islam itu ga boleh dilokalisasi? lha kristen aja mas ada nusantaranya mas, liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sunda/jawa, ada hkbp juga kurang nusantara apa?'",0,0,0,0,0,0,0,0,0,0,0,0,"user,user,ga,lha,aja,liat,aja,yg,pake,yg,pake,bhs,hkbp",,0,42,219,39,39,Alay,0
52722,"ciptakan situasi kamtibmas menjelang pilkada 2018, kapolsek konang silaturahmi ke tokoh masyarakat",0,0,0,0,0,0,0,0,0,0,0,0,"kamtibmas,pilkada,kapolsek",,0,24,98,12,12,Alay,0
52723,user user positif kok.\nse-positif respon masyarakat terhadap\n- cangkul impor\n- garam impor\n- beras impor\n- jagung impor\n- tenaga kerja impor\n- esemka impor\n\nurl,0,0,0,0,0,0,0,0,0,0,0,0,"user,user",,0,8,169,20,20,Alay,0
52724,"user user user user kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindu.\n\nistilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahhyang (yang tunggal), sama dengan\xc2\xa0shalat menyembah all",0,0,0,0,0,0,0,0,0,0,0,0,"user,user,user,user,kerjaan",,0,23,228,23,23,Alay,0
52725,kau pendikan tinggi tapi bodoh....gk ada larang bawa agama..biar orang islam yg di bayar ahok sadar gk jadi milih ahok gla,1,1,1,0,0,0,0,0,1,1,0,0,"kau,pendikan,yg,gk,milih,gla",,0,23,122,21,21,Alay,0
52726,"user user btp the best ,,,abaikan kaum kampret otak micin ,,,'",1,1,0,1,0,0,0,0,1,0,1,0,"user,user,btp",kampret,7,11,62,11,11,Anoying,0
52727,"user user , si otak tempurung mah ga usah d ladenin. smkn d lawan semakin bloon dan dungu. dan kalo ga gitu dia ga makan. hehe'",1,1,1,0,0,0,0,0,1,1,0,0,"user,user,si,mah,ga,d,smkn,d,bloon,kalo,ga,gitu,ga",,0,38,127,26,26,Alay,0
52728,"user awaasss... jgn sampe beritanya sampe ke akhi gerung! ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". klu tahu brt ini.. plng sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b",1,1,1,0,0,0,1,0,0,1,0,0,"user,jgn,sampe,sampe,akhi,ntar,nyari,klu,bcr,aja,micingin,lg,skl,jmn,klu,plng",,0,62,273,42,42,Alay,0
52729,pinokio umur 3 taonan tuh. #2019gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0,taonan,,0,6,45,6,6,Alay,0
52730,"user cerita silat lae \xf0\x9f\x98\x80 semacam kho ping hoo yang dari indonesia, tapi liang ie shen penulis dari china'",0,0,0,0,0,0,0,0,0,0,0,0,"user,ping,hoo",,0,11,119,19,19,Alay,0
52731,rt user benci sekali dgn umat islam,1,0,0,1,1,0,0,0,0,0,1,0,"user,dgn",,0,7,35,7,7,Alay,0
52732,"user user user ""provokasi mayat, politisasi agama"" penyebab kekalahan pilkada dki, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; fyi ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita",1,1,1,0,0,1,0,0,0,1,0,0,"user,user,user,pilkada,fyi,ahog,blm,jd,mayorita",cebong,6,39,234,32,32,Anoying,0
52733,user dari pada gua nete',0,1,0,0,0,0,0,0,0,0,0,0,"user,gua",,0,7,24,5,5,Alay,0
52734,user lol bani lowo',1,1,0,1,0,0,0,0,1,0,1,0,"user,lol",bani,4,7,19,4,4,Anoying,0
52735,"takabur bisa lahir dari siapa saja. penguasa, rakyat, ulama maupun cendikia. bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; mari kita demo diri sendi",0,0,0,0,0,0,0,0,0,0,0,0,"mahluq,yg,beratus2,th,krn,yg,tdk",iblis,5,26,256,40,40,Anoying,0
52736,"a orang yang suka ke konser-konser, sedikit boros.",0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,50,8,8,Netral,0
52737,[ sampai kapan makan racun ? ]; _; banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,97,18,18,Netral,0
52738,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat . no 1 bisa ! baguss #khofifahemilnomer1,0,0,0,0,0,0,0,0,0,0,0,0,baguss,,0,6,134,21,21,Alay,0
52739,"user udah biasa kali. gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'",1,1,1,0,0,0,0,1,0,1,0,0,"user,udah,kpoper,kalo,ngomonv,temen2,gua",banci,5,34,88,16,16,Anoying,0
52740,saya suka video user url awal kisah perseteruan haji bolot &amp; malih tongtong',0,0,0,0,0,0,0,0,0,0,0,0,"user,url",,0,7,80,13,13,Alay,1
52741,"budaya kafir bersungguh, klau hal2 islam tidak diendahkan...",0,0,0,0,0,0,0,0,0,0,0,0,"klau,hal2",kafir,5,8,60,8,8,Anoying,0
52742,"user user user user \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""semua diam ,semua bisu""\n""kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'",0,0,0,0,0,0,0,0,0,0,0,0,"user,user,user,user,la,la,hmm,yg",,0,25,216,21,21,Alay,0
52743,"apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada allah. (qs. al-a\xe2\x80\x99raf: 200 dan fushilat: 36).'",0,0,0,0,0,0,0,0,0,0,0,0,,setan,5,0,129,15,15,Abusive,0
52744,user user user user user user user klw ente atheis..ngapain sibuk dgn agama orang...,0,0,0,0,0,0,0,0,0,0,0,0,"user,user,user,user,user,user,user,klw,ente,dgn",,0,38,84,14,14,Alay,0
52745,lengserkan jokowi bangsat!!,1,1,1,0,0,0,0,0,1,0,0,1,,,0,0,27,3,3,Netral,0
52746,user selamat hari kartini ; ; #2019gantipresiden; #2019presidenbaru,0,0,0,0,0,0,0,0,0,0,0,0,user,,0,4,67,8,8,Alay,0
52747,"rt user: bajingan homo!!!\nhati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! url",1,1,1,0,0,0,0,1,0,1,0,0,"anak2,jgn,url",bajingan,8,11,108,16,16,Anoying,0
52748,user iya cocot',1,1,1,0,0,0,0,0,1,1,0,0,user,,0,4,15,3,3,Alay,0
52749,user karena budaya indonesia.,0,0,0,0,0,0,0,0,0,0,0,0,user,,0,4,29,4,4,Alay,0
52750,"user yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""",0,0,0,0,0,0,0,0,0,0,0,0,"user,ngajarin,ajah,aseng",,0,21,84,14,14,Alay,0
52751,user x || lo ngomong aja kaga bener bangke',1,1,1,0,0,0,0,0,1,1,0,0,"user,lo,ngomong,aja,kaga,bener",,0,25,43,9,9,Alay,0
52752,user user kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,0,0,0,0,0,0,0,0,0,0,0,0,"user,user,mempercayai,yg,disuatu,kerana,kes2pembubaran,sistem2,dinegara,negara2",komunis,7,70,240,34,34,Anoying,0
52753,tapi masih menikmati kebijakan yang dulu diusulkan pki.. lha yo opo...,1,0,0,1,0,1,0,0,0,0,1,0,"lha,yo",,0,5,70,11,11,Alay,0
52754,kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0,"kalo,gimana",,0,10,60,10,10,Alay,0
52755,user bunda ngentot yuk',0,1,0,0,0,0,0,0,0,0,0,0,user,ngentot,7,4,23,4,4,Anoying,0
52756,rt user: china babi... china maling...\n#usirchina https:\/\/t.co\/9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1,"china,china",,0,10,77,7,7,Alay,0
52757,"bung karno anti asing dan beliau dari jawa, coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nkalau kami keliru kami tutup akun'",0,0,0,0,0,0,0,0,0,0,0,0,adain,"asing,asing,asing",15,5,182,30,30,Anoying,0
52758,proyek korupsi rezim sby url,1,0,1,0,0,0,0,0,1,1,0,0,"sby,url",rezim,5,6,28,5,5,Anoying,0
52759,"user wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'",0,0,0,0,0,0,0,0,0,0,0,0,"user,bbrp,yg,bhs,dgn,bhs",asing,5,19,126,21,21,Anoying,0
52760,ab: pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0,yg,,0,2,66,11,11,Alay,0
52761,user user terus menurut lo kitab suci agama apa yg di bilang om user ; ; #mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0,"user,user,lo,yg,user",,0,16,87,17,17,Alay,0
52762,user suka nutup mata. kaga ditutup pun udah terlihat tertutup gara2 sipit /?',0,0,0,0,0,0,0,0,0,0,0,0,"user,nutup,kaga,udah,gara2",sipit,5,22,77,13,13,Anoying,0
52763,"user sy sbg muslim tdk merasa pak user menistakan kitab suci alqur'an, krn dlm alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",0,0,0,0,0,0,0,0,0,0,0,0,"user,sy,sbg,tdk,user,krn,dlm,sndri,bbrp,yg,smpai,dtik,blm,mkna,olh,tp,yakini,tsb,yg,yg,blm",,0,70,237,43,43,Alay,0
52764,user eh kasar kau kampang',1,1,1,0,0,0,0,0,1,1,0,0,"user,kau",,0,7,26,5,5,Alay,0
52765,"bentar lagi gua rilis album the onta's wkwkwkwkwk""",0,0,0,0,0,0,0,0,0,0,0,0,gua,,0,3,50,8,8,Alay,0
52766,user ada cebong bang dia merasa paling benar',1,1,1,0,0,0,0,0,1,1,0,0,user,cebong,6,4,45,8,8,Anoying,0
52767,najis banget gw ngetwit apa barusan wey',0,1,0,0,0,0,0,0,0,0,0,0,"gw,ngetwit",najis,5,9,40,7,7,Anoying,0
52768,kamu transgender atau gmn anjing :( url,1,1,1,0,0,0,0,1,0,1,0,0,"gmn,url","transgender,anjing",17,6,39,7,7,Anoying,0
52769,user awas bintitan lu ngintipin titit kucing',0,1,0,0,0,0,0,0,0,0,0,0,"user,lu,ngintipin",titit,5,15,45,7,7,Anoying,0
52770,"user user bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'",0,1,0,0,0,0,0,0,0,0,0,0,"user,user,gaje,udah,aja",,0,19,79,16,16,Alay,0
52771,"user user user user gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'",1,1,1,0,1,0,0,0,0,1,0,0,"user,user,user,user,saranin,gk,bnyk,aja,lu,yg,tdk,lu,teriakin,aja,dehh","bacot,kafir",10,56,213,38,38,Anoying,0
52772,jgn salah target bkn ahok... agenda utama lengserkan jokowi ..,1,0,1,0,0,0,0,0,1,0,0,1,"jgn,bkn",,0,6,62,10,10,Alay,0
52773,user user masa baru kena hestek aja udah kepanasan ??? kepo banget ; ; #2019gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0,"user,user,hestek,aja,udah,kepo",,0,25,89,15,15,Alay,0
52774,"maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo url",0,1,0,0,0,0,0,0,0,0,0,0,"lu,kau,la,kau,bodo,url",,0,17,93,21,21,Alay,0
52775,"user hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nterjadilah perpecahan dan berdirilah hkbp yg prtama kali di tarutung.\n\nnah skrg anda sy k",0,0,0,0,0,0,0,0,0,0,0,0,"user,hkbp,khatolik,tdk,yg,yg,cm,hkbp,yg,prtama,skrg,sy",,0,43,244,36,36,Alay,0
52776,"ha .. ha .. banyak baca biar pintar ... jepang, amerika, china... utang sama siapa ... anda tau enggak ..?",0,0,0,0,0,0,0,0,0,0,0,0,"ha,ha,enggak",,0,10,106,20,20,Alay,0
52777,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0,,,0,0,80,11,11,Netral,0
52778,user user dan yang takut dengan adzan adalah iblis',0,0,0,0,0,0,0,0,0,0,0,0,"user,user,adzan",,0,13,51,9,9,Alay,0
52779,user user yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. propaganda nasi bungkus memang selalu gagal.',1,1,0,1,0,0,0,0,1,0,1,0,"user,user,yg,goblog,yg,gerakin,yg","bani,cebong",10,27,174,27,27,Anoying,0
52780,user user user user wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1,1,0,0,0,0,0,1,1,0,0,"user,user,user,user",cebong,6,16,94,7,7,Anoying,0
52781,2. gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,93,13,13,Netral,0
52782,padahal gubernur saat ini djarot. mayoritas partai politik di dprd juga pendukung ahok djarot. payah ya mereka user url,1,0,1,0,0,0,0,0,1,1,0,0,"dprd,user,url",,0,11,119,19,19,Alay,0
52783,"user rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, kpk alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",0,0,0,0,0,0,0,0,0,0,0,0,"user,systeamnya,cari2,klu,kpk",rezim,5,25,207,28,28,Anoying,0
52784,"saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",0,0,0,0,0,0,0,0,0,0,0,0,aseng,antek,5,5,82,11,11,Anoying,0
52785,user nah loh katanya anti aseng',0,0,0,0,0,0,0,0,0,0,0,0,"user,loh",,0,7,32,6,6,Alay,0
52786,"selamat pak user semoga bisa terus berkiprah, bahkan tingkat nasional.",0,0,0,0,0,0,0,0,0,0,0,0,user,,0,4,70,10,10,Alay,0
52787,#asyikm3nang saya sih ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,37,6,6,Netral,1
52788,user yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. termasuk pt who tambang bouksid yg viral saat pilpres dulu. \ndan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,0,0,0,0,0,0,0,0,0,0,0,0,"user,tka,yg,berkerja,bouksid,yg,pilpres,tsb,ora",asing,5,39,244,40,40,Anoying,1
52789,user anak pecun... ga jauh2 dr hobi zina.. haha',1,1,1,0,0,0,0,1,0,1,0,0,"user,ga,jauh2,dr",,0,13,48,9,9,Alay,0
52790,user que bom sbbsnsn',0,0,0,0,0,0,0,0,0,0,0,0,"user,que",,0,7,21,4,4,Alay,0
52791,"user istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun 2003",0,0,0,0,0,0,0,0,0,0,0,0,"user,aja,pd",,0,9,143,23,23,Alay,1
52792,"pada 1979, house select committee on assassinations (hsca) menemukan cacat investigasi yang dilakukan fbi dan warren commission. hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",0,0,0,0,0,0,0,0,0,0,0,0,assassinations,cacat,5,14,235,31,31,Anoying,0
52793,"user tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres, acara tahunan negara indonesia untuk memilih presiden. semoga senantiasa berjalan aman dan lancar. amin.",0,0,0,0,0,0,0,0,0,0,0,0,user,,0,4,188,28,28,Alay,0
52794,user ian pantat',0,1,0,0,0,0,0,0,0,0,0,0,user,,0,4,16,3,3,Alay,0
52795,"user user ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan tuhan. ingat : iblis itu juga pintar dan sangat licik!!!'",0,1,0,0,0,0,0,0,0,0,0,0,"user,user,ngakunya,org,emangnya,yg,org,jgnkan,org,yg,hrs,hargain","idiot,iblis",10,53,282,45,45,Anoying,0
52796,pendaftaran capres untuk #pilpres2019 saja belum dibuka sampai agustus 2018...yang normatif begini politikus pdip masih belum paham? #2019gantipresiden !!,1,0,0,1,0,0,0,0,1,0,1,0,"capres,pdip",,0,10,154,19,19,Alay,0
52797,si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dpr paya cebong url,1,1,1,0,0,1,0,0,0,1,0,0,"si,udah,dpr,url","tolol,rezim,komunis,cebong",23,12,103,17,17,Anoying,0
